Layer,Category,Constant Name,Value,Type,File Name,Function/Location,Line #,Status,Admin Config Key,Recommendation
Frontend,Token Limits,DEFAULT_TOKEN_LIMIT,8192,number,src/OneMindAI.tsx,Line 254,254,HARDCODED,N/A,Use from ai_models table
Frontend,Token Limits,MODEL_TOKEN_LIMITS (OpenAI),16384,number,src/OneMindAI.tsx,Lines 199-207,199-207,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Token Limits,MODEL_TOKEN_LIMITS (Anthropic),8192/4096,number,src/OneMindAI.tsx,Lines 209-213,209-213,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Token Limits,MODEL_TOKEN_LIMITS (Gemini),8192,number,src/OneMindAI.tsx,Lines 215-218,215-218,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Token Limits,MODEL_TOKEN_LIMITS (DeepSeek),65536,number,src/OneMindAI.tsx,Lines 220-223,220-223,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Token Limits,MODEL_TOKEN_LIMITS (Mistral),128000/32000,number,src/OneMindAI.tsx,Lines 225-230,225-230,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Token Limits,MODEL_TOKEN_LIMITS (Perplexity),8192/4096,number,src/OneMindAI.tsx,Lines 232-234,232-234,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Token Limits,MODEL_TOKEN_LIMITS (Groq),8192,number,src/OneMindAI.tsx,Lines 236-240,236-240,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Token Limits,MODEL_TOKEN_LIMITS (xAI),8192,number,src/OneMindAI.tsx,Lines 242-244,242-244,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Token Limits,MODEL_TOKEN_LIMITS (Kimi),8192,number,src/OneMindAI.tsx,Lines 246-249,246-249,HARDCODED,ai_models.max_output_tokens,Migrate to database
Frontend,Pricing,BASE_PRICING (OpenAI),0.15-100.00,number,src/OneMindAI.tsx,Lines 261-266,261-266,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Anthropic),0.25-15.00,number,src/OneMindAI.tsx,Lines 268-272,268-272,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Gemini),0.0375-0.30,number,src/OneMindAI.tsx,Lines 274-277,274-277,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (DeepSeek),0.14-0.28,number,src/OneMindAI.tsx,Lines 279-281,279-281,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Mistral),2.00-24.00,number,src/OneMindAI.tsx,Lines 283-286,283-286,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Perplexity),4.00-20.00,number,src/OneMindAI.tsx,Lines 288-290,288-290,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Kimi),8.00-40.00,number,src/OneMindAI.tsx,Lines 292-295,292-295,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (xAI),6.00-12.00,number,src/OneMindAI.tsx,Lines 297-298,297-298,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Groq),0.05-0.79,number,src/OneMindAI.tsx,Lines 300-304,300-304,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Falcon),0.10-1.60,number,src/OneMindAI.tsx,Lines 306-311,306-311,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Sarvam),0.10-0.50,number,src/OneMindAI.tsx,Lines 313-315,313-315,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (HuggingFace),3.00-8.00,number,src/OneMindAI.tsx,Lines 317-318,317-318,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Pricing,BASE_PRICING (Generic),3.00-8.00,number,src/OneMindAI.tsx,Lines 320-321,320-321,HARDCODED,ai_models.input_price_per_million/output_price_per_million,Migrate to database
Frontend,Token Estimation,estimateTokens (tiktoken),0.75,number,src/OneMindAI.tsx,Line 330,330,HARDCODED,N/A,Keep - industry standard
