#,Layer,File,Line/Function,Hardcoded Value,Category,Why Dangerous,Current Impact,Layers Affected,Recommendation,Why Needed
1,Frontend,OneMindAI.tsx,193-250,MODEL_TOKEN_LIMITS object,🔴 CAT 1: Token Limits,Overrides database values,Admin panel settings ignored,"L1, L2, L6",Migrate to ai_models.max_output_tokens,Database-driven values allow runtime changes without deploy
2,Frontend,OneMindAI.tsx,260-340,BASE_PRICING object,🟡 CAT 2: Pricing,Duplicate of database data,Pricing changes require code deploy,"L1, L2, L6","Remove, use useAIModels() hook only",Single source of truth prevents pricing inconsistencies
3,Frontend,OneMindAI.tsx,389-402,PROVIDER_MAX_OUTPUT object,🔴 CAT 1: Token Limits,Ignores provider_config.max_output_cap,Admin settings have no effect,"L1, L3, L4, L6",Wire to provider_config.max_output_cap via useAdminConfig(),Admin panel changes must affect API behavior
4,Frontend,OneMindAI.tsx,1625,MAX_PROMPT_LENGTH = 7000,🟡 CAT 3: Prompt Limits,Ignores system_config.max_prompt_length,Admin setting unused,"L1, L3, L6",Wire to system_config.max_prompt_length,Admins need ability to adjust prompt limits per deployment
5,Frontend,OneMindAI.tsx,1670-1677,BACKEND_CAPS object,🔴 CAT 1: Token Limits,Duplicates backend logic in frontend,Frontend/backend mismatch,"L1, L3, L4","Delete entirely, fetch from backend response headers",Eliminates frontend/backend divergence and mismatch warnings
6,Frontend,OneMindAI.tsx,254,DEFAULT_TOKEN_LIMIT = 8192,🔴 CAT 1: Token Limits,Magic number fallback,Unknown models get arbitrary limit,"L2, L3, L6",Keep as fallback but document in ,"Fallback needed for unknown models, but should be centralized"
,,,,,,,,,useAIModels.ts,
7,Frontend,OneMindAI.tsx,"2038, 2216, etc.",temperature: 0.7 (25+ instances),🟡 CAT 10: Temperature,Not configurable per provider,Users can't adjust creativity,"L1, L3, L4, L7","Add default_temperature to provider_config, centralize in helper",Allows per-provider temperature tuning without code changes
8,Frontend,OneMindAI.tsx,409,|| 4096 fallback,🔴 CAT 1: Token Limits,Silent fallback,Unknown providers get low limit,"L3, L4, L6",Use getProviderMaxOutput() helper with logging,Silent fallbacks hide configuration failures
9,Frontend,OneMindAI.tsx,375,Math.round(((inTok + outTok) / 1000) * 3 + 2),🟢 CAT 4: Token Estimation,Magic multipliers,Time estimates may be wrong,L3,Extract to system_config.time_estimation_multiplier,Time estimates should be tunable based on real performance data
10,Frontend,OneMindAI.tsx,1093,"Math.min(1500, Math.max(300, ...))",🟢 CAT 4: Token Estimation,Output estimation bounds,Cost estimates may be wrong,L3,"Extract to system_config (min_output_estimate, max_output_estimate)",Cost estimates need tuning as models evolve
11,Frontend,OneMindAI.tsx,"6573, 9458",excludedModels array,🟢 CAT 8: UI Config,Hardcoded model exclusions,Can't change without deploy,"L1, L2",Add is_live_streaming_supported boolean to ai_models table,Feature availability should be configurable per model
12,Frontend,useAdminConfig.ts,44-77,DEFAULT_SYSTEM_CONFIG array,🟢 CAT 15: Correct (Fallback),Necessary fallback,Acceptable pattern,"L2, L6",Keep as-is (fallback for DB unavailability),Fallback is necessary for resilience
13,Frontend,useAdminConfig.ts,68-77,DEFAULT_PROVIDER_CONFIG array,🟢 CAT 15: Correct (Fallback),Necessary fallback,Acceptable pattern,"L2, L6",Keep as-is (fallback for DB unavailability),Fallback is necessary for resilience
14,Frontend,useAdminConfig.ts,84,CACHE_DURATION_MS = 5 * 60 * 1000,🟢 CAT 6: Cache Duration,Should be configurable,5 min may be too long/short,L2,Move to system_config.cache_duration_ms,Cache duration should be tunable for different deployment scenarios
15,Frontend,useAIModels.ts,58-72,FALLBACK_MODELS array,🟢 CAT 15: Correct (Fallback),Necessary fallback,Acceptable pattern,"L2, L6",Keep as-is (fallback for DB unavailability),Fallback is necessary for resilience
